[00:02.070] 的
[00:09.360] 您好。
[00:10.920] 您好，我这边是百得利奔驰4S店的，您这边是有在关注奔驰车吗？
[00:18.480] 对，我想问一下老
[00:21.770] 老姑和宝马现在有别的优惠吗？
[00:25.730] 您是想吃饭还是说
[00:28.610] 单独购买吃饭是吧？吃饭的话咱们老婆婆这方面话是有优惠的。
[00:35.520] 因为。
[00:37.440] 您看哪看到？
[00:38.650] 的。
[00:40.720] 您看的是哪款车？
[00:42.830] S350。
[00:46.440] 现在。
[00:47.550] 个车等新款上市了，它还能增加。
[00:51.520] 这款车的话基本上也就这样，他在新款倒车之前，这老款车估计也就卖差不多了。
[00:59.470] 都卖完了。
[01:00.720] 对，差不多了，现在还有车。
[01:03.880] 新款上市肯定没有货，而现在的话优惠率都比较大了。
[01:08.920] 了之后核对通过上市之后欠款
[01:12.180] 可能会有优惠。
[01:13.770] 他是这样，等新款上市的时候，老板的车基本上都卖差不多了，
[01:18.620] 优惠不会差太多了。
[01:25.140] 因为进口车的话价格相对来说是比较稳定的。
[01:31.800] 现在
[01:33.020] 咱们
[01:35.620] 能够付多少？
[01:36.850] 大概5万左右的现金。
[01:41.300] 就没有那些什么装细胞可能吗？
[01:44.830] 对，就现金优惠咱们都
[01:47.620] 然后具体价格到店能载量，然后置换的话是有一个置换的补贴是吧？
[01:54.280] 主要要还5万是吧？对你还不可能80多万。
[01:58.210] 对。
[01:58.510] 80万。
[02:03.320] 咱们的贷款
[02:06.400] 首付最低能有多少？
[02:09.000] 23:50都可以，到时候看您自己说。
[02:12.700] 就能办出来吗？
[02:14.460] 就最低或者说看您这边的征信，还有咱们坐哪个金融都不一样，
[02:19.490] 大概也是这么一个参考。
[02:22.680] 到时候看您这边的个人征信，然后看的是
[02:26.480] 都买的金融都是一样。
[02:34.000] 就我
[02:35.450] 我如果贷款的话，就我
[02:38.010] 因为我的指标是我极的指标，然后它需要到场。
[02:42.210] 得需要车主本人必须过来，
[02:45.130] 其他人必须。
[02:46.280] 哪个环节。
[02:47.450] 签字。
[02:49.580] 我是买车的环节还是贷款最好贷款的环节？
[02:54.240] 我贷款的话就说下来，您先过来。
[02:57.820] 您过来聊完价格合适，然后您就是说
[03:00.870] 这边说同意您或者说您这边可以做分析的话，您到时候让车主过来，
[03:05.440] 他得要签字的。
[03:07.030] 是现在你们
[03:08.850] 他知道我能不能做分期。
[03:11.680] 对。
[03:12.560] 如果能做的话，
[03:14.650] 就可以是吧？
[03:17.300] 好。
[03:19.650] 现在。
[03:21.870] 然后放在宁波吸到这儿，西行还在新桥这边。
[03:30.000] 南方那一块都是到店了。
[03:33.840] 8月份
[03:35.360] 有盗版了。
[03:37.210] 现在这车都刚到店，
[03:39.400] 不确定到时候有没有。
[03:42.170] 现在
[03:43.150] 共有几辆？
[03:44.540] 还有
[03:48.040] 应该两条。
[03:52.410] 又有两张，
[03:54.600] 早上我去完了你联系。
[03:57.360] 就剩一台了。
[03:59.310] 就一行。
[04:01.300] 一般他都交。
[04:03.470] 然后回家了。
[04:04.440] 您是打算什么时候购买的？
[04:07.330] 我就最近马。
[04:08.990] 时间是吧？
[04:10.160] 大概。
[04:11.430] 我是想等等，嘴上是我看过的下午。
[04:16.170] 还不如电话吗？
[04:17.760] 这不好说，我也没啥给你说。
[04:21.800] 所以我想等等。
[04:23.690] 您这么夏新款上。
[04:25.410] 这个或什么吗？
[04:26.850] 不太确定，你比如说您新款上市的话，你新款没有优惠，老款还是优惠这些，您价格还是新款老款的合适。
[04:36.040] 电脑不是我肯定买正版，也想看看存款上之后这老款会不会在有些。
[04:43.190] 它这个价格是因为他是怎么对别的，他说从新车的价格新售价格没有优惠，
[04:48.950] 那老板的话有优惠，它价格差距就出来了。
[04:56.540] 不是说新款的优惠的少，然后老款的继续往上优惠，不会这样算的。
[05:02.130] 能不能上网？现在19款十二零在哪有吗？
[05:06.860] 没有了，停产。
[05:12.370] 了。
[05:13.910] 我过来看一下，因为我现在的车我也要
[05:19.640] 换了不了。
[05:21.410] 你。
[05:23.130] 你可以。
[05:24.620] 还是你们优惠吗？
[05:26.270] 刚才跟您说的，然后您开过来老客户的话，咱们到店是单独有优惠申请。
[05:33.750] 在那里。
[05:34.960] 行。
[05:36.170] 您不也知道，到时候您过来看看，然后颜色合适的都可以接受预定的。
[05:45.960] 然后我
[05:47.830] 你们还能你帮我看看包场计划，然后
[05:51.710] 我是你给我看看。
[05:55.100] 现在到岗计划这个月中旬，
[05:57.840] 那就得月下个月中旬左右到车了。
[06:02.490] 8月中旬没到家。
[06:04.660] 对。
[06:07.250] 杀人不了。
[06:08.490] 黑车棕、
[06:11.540] 黑车、
[06:13.440] 35那B也是吧？
[06:15.610] 852,800的这块。
[06:20.720] 行我到后我之前看。
[06:24.000] 行，我给您发个我的电话，然后到时候您过来看看好吧？
[06:27.910] 行OK好了，好这边就没打开了。
[06:31.560] 好，再见。
[06:33.610] 网站里面的好友
[06:36.000] 加了
[06:38.750] 帮我。
