[00:00.000] 这个时期量一阶段今天的中国
[00:02.450] 比赛的
[00:44.080] 杨宇还给您明鉴高悬。
[00:46.830] 忙完了吗？你有什么问题可以问我。
[00:57.280] 后备箱也很大了。
[00:59.120] 我就想起来了，你
[01:01.180] 有特点的科技已经可以
[01:03.960] 对了。
[01:05.610] 你看像你后边拉啥东西，
[01:10.430] 哥俩旅行箱都不错是
[01:16.430] 开始。
[01:17.740] 合同行了。
[01:20.520] 您那车年头
[01:22.410] 这个年头其实可以，这个话
[01:24.740] 国家现在一个报废的话，可能佛山的话是有一段补贴的。
[01:29.250] 对，但是咱们置换的话，奔驰报废给直接讲就不叫置换了，置换给贫困户车值多少钱，
[01:36.350] 然后外迁办外迁手续还能给5000，
[01:39.380] 新车还能给5块钱，
[01:41.990] 您就能到1万多，到手到1万多的价格，就是说还是
[01:47.870] 卖置换和
[01:52.770] 双出。
[01:54.580] 甄才智两边都有图示装置，
[02:05.230] 他这种
[02:07.070] 意思
[02:08.520] 各有特点。
[02:09.730] 对，特别特定的。
[02:12.010] 他这里边看着很简单。
[02:13.760] 很简单，
[02:22.040] 模式变成金色了，跟我们做一个销售，我就开始做了颜色不全。
[02:27.560] 他这些东西他这膜的颜色属于这种颜色在变破碎，它属于外观的丽江大，
[02:34.780] 水管变都是
[02:37.670] 公厕位置，
[02:39.050] 他内饰全是红色东西，
[02:48.630] 猴爬杆的蓝色。
[02:50.170] 您能把那啥咸咸涩平打开，我看一下水流电量够的话，一开就没
[03:12.320] 沃尔沃对他们
[03:14.540] 对吧？就没有更主要的不是城市要便宜，不是家庭的问题了。
[03:19.470] 便宜对超过760的平方。
[03:23.310] 现在
[03:24.680] 是140340~160 160多，增加148，
[03:30.940] 差20瓦，就是说这两个瓶子都是一样大小一样，12:32就3了。
[03:43.570] 拿合一块是吧？对。
[03:45.200] 有两个一块。
[03:47.840] 研发服务。
[03:52.690] 别的他这没啥。
[03:54.710] 你这就是医院要这风格就这样子，这是不是一模一样，力镖就是一模一样的。
[04:01.500] 大标就是这种黑色的屏蔽，
[04:04.650] 因为旧小区它换挡拨片弄来什么这么。
[04:10.270] 对。
[04:18.240] 这是两种风格，他的风格的
[04:21.560] 变化很大。
[04:25.120] 很小。
[04:27.760] 后期的保有率的话可能跟机会更高一点，毕竟真实的那种的对中国国内还是比较多。
[04:34.440] 不错。
[04:38.280] 他
[04:39.720] 音箱它是谁的影响？奔驰自己的。
[04:43.280] 奔驰高保真的影响，
[04:45.760] 就不用什么其他品牌了，
[04:48.390] 但是奔驰也有合作品牌，
[04:50.880] 合作品牌叫柏林之声，
[04:52.790] 办理工商是一个世界顶级品牌的东西。
[04:56.440] 对。
[04:58.900] 对他这样级别的。
[05:01.000] 他怎么能他那喇叭他声音是什么呢？
[05:03.950] 咱一般外行也就差不多，
[05:06.080] 乐视的它的品牌达到这个高度了，所以说他在每一上面的话都得用的是很高端的东西。
[05:12.830] 很好的产品就是只能说更好吗？
[05:15.760] 是，要不我就说了我
[05:18.000] 你同样的他价钱衣柜了以后，
[05:22.270] 他
[05:24.030] 你平常的灯什么刹车灯什么的思路上过两年坏了，我一看有些就没坏过，对。
[05:32.560] 直到他卖车，我CRV有10来年了，10年都出了，
[05:40.060] 人家没有说过换灯的事，
[05:43.310] 标志弄不弄，
[05:45.830] 4款灯不行了，
[05:48.380] 也没多少钱，
[05:50.260] 10 10块20块钱，
[05:52.410] 但是人家就没有出现过这种事儿，
[05:55.930] 也是
[05:58.120] 他不是光一样，
[05:59.730] 他是各个东西都好了，
[06:02.210] 她就跪了。
[06:03.330] 是吧？对。
[06:05.640] 行。
[06:06.720] 不是几个喇叭？
[06:08.560] 8个扬声器。
[06:09.800] 8个。
[06:13.660] 8个那次他们
[06:15.990] 说看
[06:18.990] man卡迪拉克14年了，那么一堆
[06:25.390] 捆身上吗？不是越多越好这个东西。
[06:28.410] 他这次有设计，
[06:33.040] 他也高兴
[06:35.890] 为
[06:38.360] 为
[06:47.310] 我也看他什么，他是弄的东西多了，
[06:50.640] 你就给他挑音响，音量这边一搁这上边可以了，
[06:56.530] 没有那么多胖子都有什么用对吧？
[07:00.150] 是，要不我说您这设计的是有点心，
[07:03.400] 有新颖我就
[07:04.710] 我很累，记得这样也有个方向盘，还有一个
[07:10.040] 其实最有用的其实就是
[07:11.840] 方向盘。
[07:12.870] 然后其次这有一个就可以了，只要能挑一个翻腾调一个就可以。
[07:20.840] 方向盘好像跟也不一样，
[07:23.770] 是吧？奔驰这方向盘会有一个独立研发发的部门，
[07:27.650] 再翻盘的造诣上很少有品牌去
[07:31.440] 去补充奔驰的，比如说就有两个黑色的小方块，
[07:35.180] 类似于功能就是触摸板和一米板放在这个位置，
[07:38.960] 叫双拇指空间里面有两个拇指去操作两块显示器当中的内容，
[07:44.670] 比如说我们在驾驶过程中我不用自然会这样去操作了，
[07:49.120] 了我们在开车的过程中就可以用两个拇指去操作，
[07:53.180] 上面所有的信息都可以用在这上面，
[07:55.940] 完成，这是一个触摸板好，
[08:00.610] 增加安全性，手不离盘，眼不离路，就这样开起来的时候肯定是手
[08:06.400] 不能离开方向，这是最安全的，你在你眼不能往一边看，咱来走，这边来一走，是不是不知道跑哪了，
[08:14.870] 是吧？
[08:19.590] 真的不错。
[08:20.930] 我的权衡天我哪天让我死了，
[08:23.780] 是运动的还是什么？
[08:26.640] 这里标着一种高发的，然后看好您款我觉得还行，咱们
[08:32.710] 是代理大到可以，然后觉得先看车不错，然后看哪款车，咱们针对某一款车
[08:38.680] 进行一个使用支架，您这是一般都在四环上跑，我们就在四海就是这块我们买一个
[08:45.970] 包括前面掉掉头，对老头基本上都是590公里的样子。
[08:51.930] 我觉得不错，到时候他们价格政策还个两三公里，差不多就能感觉有问题是。
[08:58.530] 我总觉得都不错，咱们往后讲。
[09:04.110] 做出来根据市场的一个曲线
[09:10.840] 了，好多曲线，
[09:14.560] 是不是因为这个弧度你掌握的不好那就不行，你看现在很多世界上面设计的
[09:21.990] 住上很多都是血性的，
[09:24.710] 这样。
[09:26.780] 对，你比如说直线取得的一个曲线上首先更难一些，
[09:33.840] 设计不好，这样你设计好了当然
[09:37.840] 相当
[09:41.090] 造诣非常高，可能的
[09:45.220] 的
[09:49.540] 颜色，刚才说的里边的颜色，对颜色就是这样子了，不用再动员了。
[09:55.470] 没错。
[09:56.370] 颜色以棕色内饰去，然后外观是黑色的叫黑带中。
[10:03.360] 这些年卖得非常好。
[10:06.600] 黑色
[10:08.270] 不用去考虑，悄悄配着看看是让你的配置。
[10:12.280] 那叫款式要大专里标的，
[10:14.370] 试试车看看价格看看政策，如果合适就去办手续，就是说没有那么繁琐，
[10:21.010] 不能给你很多的影像，其实很简单，
[10:24.480] 奥迪的把人给弄烦了，弄得好像很人性化，
[10:29.590] 这颜色我选来选去，其实你今天看了一个颜色，这颜色好看，可能你弄错了过几天就不好看了，是不是？
[10:36.900] 但是人家是专家们给你推荐出来了，
[10:39.930] 可能你就是适应他的过程，当你适应了以后，你会总觉得它好看没错。
[10:45.830] 是不是没有那些自己要选择全麻，好像很热闹，其实
[10:53.200] 带方向盘加热吗？不在家热不在家？对薄公堂不再加热。
[10:59.420] 拉帕皮的皮还分很多种，哪怕是很幸运的是
[11:04.420] 学校容易的事是吧？
[11:06.600] 雪铁雪铁龙也很麻烦。
[11:09.960] 哪怕的话很多车都会采用
[11:14.390] 你做的
[11:15.690] 市场挥洒，
[11:18.760] 经穿皮夹克的，其实你做的事。
[11:23.440] 没事对居然砸。
[11:27.400] 这种。
[11:28.750] 我一看做工的时候，
[11:31.560] 这都好说，这估计都是机器做出来。
[11:34.800] 对，现在这个部分是机器做的。
[11:37.730] 现在这个位置都是机器做的，机器做出来了，他能给你做得很均匀，这可能很正常，对，就怕手中没这事主要。
[11:45.390] 是不是？我感觉蝙蝠侠
[11:47.910] 就做的
[11:48.920] 你看这一看都是比较早。
[11:54.120] 北京现在的制造工艺也是可以，
[11:56.800] 北京的可有大部分奔驰见好多还是进口，
[12:00.890] 还是进口，这车虽然北京生产，但大部分店都是进口，
[12:05.950] 你很有可能这方，但我不知道一方面是精华，很有可能这方法就是说我是技术上
[12:11.200] 但是这不含整不能做，
[12:13.330] 是不是OK？
[12:15.540] 你可能发展进度过来，
[12:17.240] 有可能就是说比如这个案件
[12:20.170] 是进口过来的，
[12:21.370] 工艺这也是公益叫巴黎钉纹，
[12:23.940] 这上面是有纹理的。
[12:27.590] 整个0这块颜色
[12:30.660] 搭配是吧？
[12:32.120] 是金属，但是他这种光泽这个量光泽又是一种风格，对在经过脱敏处理过，就是我们肌肤敏感的时候，孩子触摸的时候OK了，这个上面是不会进行过敏的，手不是过敏，就金属出
[12:45.750] 经过特殊处理和金属种比较，
[12:48.160] 我们看看他的涂层他有没有关系处理归处理，他刚才这个
[12:54.190] 我一上来的我有一个动作上就转一圈转到上，
[12:58.170] 着不住自己就是这种设置使用了的，吸氧不穿进去设置的，
[13:03.190] 你车没有体重也没有销售，
[13:05.770] 雪鸟也很精准。
[13:10.060] 一般成人才能使用。
[13:12.060] 不一样。
[13:13.090] 因为他怎么每一个地方你感觉到很多都红色都可以，
[13:20.840] 别的没什么可看。
[13:22.420] 这个车已经没什么太多挑剔的了，已经很好了这个事情。
[13:28.790] 对这次
[13:29.980] 后边他就搁这边了。
[13:32.770] 下边搬下来是不是还有两个有衣服上有楚阁会放一段
[13:38.810] 鼻子这样。
[13:39.880] 前排的杯在
[13:41.770] 后排的这个是干什么的？就是操守差。
[13:46.470] 触摸屏，对触摸板。
[13:54.080] 算是吧？
[13:54.920] 可以，不错，怎么有啥可。
[13:57.620] 不可以的。
[13:59.200] 应该。
[14:03.280] 我觉得一级的话适合你们。
[14:06.680] 咱们他买什么价位的？
[14:08.960] 考虑。
[14:09.960] 预算。
[14:10.840] 我就是说
[14:12.390] 40上下要是合适吗？不是，他们给我推荐的，提供我也看看
[14:20.980] 宝妈钱花到那地方，但是看着不像那么回事。
[14:25.470] 是不是？它价钱不便宜？
[14:28.030] 地点怎么说呢？
[14:30.570] 当他们关系
[14:32.100] 就是说聊你烧机油弄
[14:37.310] 奔驰不存在这问题，好没听过是吧？
[14:39.930] 这么多年了一直都不去烧酒，
[14:43.000] 这种打扫了还有用的车
[14:46.440] 大小已经完全满足要求，
[14:51.640] 然后跟着他谈，
[14:52.810] 过来看看。
[14:54.230] 是他把我的意思地标也没分，
[14:57.350] 是吧？
[14:57.890] 你既然能买到这个价位了，反正借了40多就这个价位了，然后给到我们建设是吧？
[15:02.990] 你最适合的不撤销，
[15:04.890] 也加入你商户和一个条件上面有没有？
[15:08.880] 像网上面说优惠多少优惠多，这肯定都没问题，都是假。
[15:16.520] 你要符合各种要求，
[15:18.830] 你要符合各个项目的要求。
[15:21.320] 比如说
[15:22.850] 你有没有在指标上有没有在医院工作，请中共武汉
[15:29.700] 每年
[15:31.130] 奔驰可以给
[15:32.620] 加油额外的水平。
[15:35.010] 他们执行拨款的话，谁知
[15:38.510] 你是否是奔驰这款奔驰，
[15:42.950] 你是非职责之外，就是产品的这块这种政策的不一样，
[15:47.640] 这都是还的细节的。
[15:50.840] 反正测的他没法一起那么细，只能协商价格多少价格，低价多少钱什么暑假。
[15:57.880] 但这一下
[15:59.970] 原来我听他们说什么，
[16:02.410] 出国人员有什么说法，有睡着，
[16:06.030] 也都是
[16:07.580] 现在没有这了，基本上达不到要求。
[16:10.640] 要求比较苛刻。
[16:17.190] 领导人好，
[16:18.370] 随机的。
[16:20.800] 各个品牌都有，
[16:21.930] 我们家都不准，
[16:24.240] 具体的在哪儿是吧？
[16:27.890] 跟家里差不太多，其实那天我邻居，所以我就说他从方庄买，
[16:34.430] 他最后办下来了以后，我没有具体看它，我就在外边看一下，我说买新车他新买了
[16:41.570] 说多少钱，他说落地大概43，不知道他是怎么优惠的，
[16:47.190] 是不是？
[16:48.120] 要咱这边也差不多能办的，只要他正常他买什么车型都可以办。
[16:53.000] 你就问问它是每一项多少钱，如果说
[16:57.500] 有各个政策符合，那就OK没问题。
[17:05.140] 这应该我感觉
[17:06.900] 怎么比那个
[17:08.840] 哎哟好看。
[17:11.470] 是奥迪这两年要退出一线的这种市场，
[17:15.390] 因为我在砸价作为杂架，闹到现在好多奥迪本品牌的车主都对自己品牌没有这么大的
[17:22.460] 就像代购希望可能
[17:26.550] 这里边就是说屏幕大大众化的来说，这似乎就是
[17:31.320] C姨还有个A是不是ACES
[17:36.970] 都是轿车。
[17:37.820] 轿车是不是？
[17:40.690] C的话，你260C260L它的长度比他能差多少？
[17:48.070] 20多公分。
[17:49.310] 对，很明显。
[17:51.930] 很明显。
[17:55.350] 中大型车。
[17:56.620] 是吧？对。
[17:58.010] 汽车
[17:58.890] 这俩都是一样的，S
[18:01.500] 他这个应该是更高一点，是不是？
[18:05.120] 第完了就是S
[18:06.380] 原来我不说了，奔驰600就是S600，
[18:11.020] 很早北京市
[18:14.250] 没到改革的，
[18:15.750] 那是奔驰的底盘。
[18:17.280] S顶配。
[18:22.320] 也就这两就这个了，对。
