[00:00.000] 不好销售，2020年7月接待刘先生守则点2亿，
[00:04.740] 你算算一天20个医生，6月668
[00:10.890] 说这个是车的，这个是别理的，车子的要女的。
[00:31.270] 你好。
[00:32.610] 您好，是刘先生吗？尿尿销售工具行政我名片我来接待，咱是收到我预约吗？没有，让你过来看看水洼，这儿有水咖啡停车车展。
[00:44.140] 你看这有热水
[00:46.340] 热水的这边热水开水杯。
[00:48.610] 是这边完了稍等一下好了。
[00:52.220] 目前咱们店的事，厂家授权的迈巴赫天际竞买授权经销商，
[00:58.120] 后续停下来推荐的话，
[01:00.040] 到时候有一点之后，然后再一个就是咱们这儿
[01:02.780] 鲜特价车型，包括ct加菲
[01:06.240] 烧都可以看，然后又何必
[01:09.110] 这个就算了，没法比较规律，有朋友们去做79，然后咱们服务公约
[01:15.000] 在咱们这儿是一块VCD相待，诚信经营合法得体，你看这叫公开透明配点孝心公示，决不会报销授权消费，绝不成交的通航。
[01:23.230] 400818188是我们这个嘉宾话，
[01:28.740] 目前10%在行业里面目前争取是唯一承诺不收取
[01:33.040] 充值付费稍微算一下红包，这是两。
[01:37.450] 柠檬茶是吧？
[01:38.910] 我来到
[01:40.820] 给您做一需求分析，目前咱们这是有旧车置换是一个指标，对您说话对租车开的什么车使用打车。
[01:46.870] 车就比较便宜的情况，对。
[01:55.090] 使用感受怎么样？就时间长点了是吧？
[01:57.580] 时间长点就车对车12 10 12年了，打算分期条款，打算分期要全款，
[02:03.850] 看看对照哪个博士就部门那种是吧？因为我今天就过来看一眼，对过来先看一下。
[02:12.960] 其他你们看什么说，说咱们北京市
[02:15.810] 看过有几
[02:17.120] 包括宝马看过。
[02:18.880] 宝马也看过了，这都是应美容解武器，对，或者是因为我们买车基本上在
[02:27.030] 30多万到50万之间之间的对你宝马的武器，还有他的叉3叉3叉4差不太多，反正是。
[02:36.850] 对沃尔沃也看了，之后可能看起来不少，奥迪Q或者是2006，
[02:43.730] 反正差不多对，平常就1000用剁椒求多事情。
[02:50.280] 平时
[02:54.070] 可能郊区用的多一些，对，就相当于没想好打到什么时候买行。
[03:00.910] 可能在比11对吧？
[03:03.480] 就是年年底左右，
[03:06.510] 我就过来看一下。
[03:08.550] 然后一二这是126刘段，他和三叫一三百，
[03:14.570] 他俩是外观是一样，外观他E级车分大标的，
[03:20.210] 你像这款车型的话，目前现在基本就是这种大标的运动版的，那边有一个还有一层就是立标的，就是他机盖有利的一个奔驰标志，
[03:28.990] 几丐比较经典的一些
[03:32.000] 他说没注意看，相对价格是一样的，不价格是一样的，比选
[03:37.470] 自己选1260 300，对，然后再细分的就是什么？像一点像二E260是1.5米加48伏电机，
[03:45.390] 马丁我对吧？
[03:48.000] 属于低功率，对但是是牛了，如果按300目前属于20T的高功率，就动力相对要强劲一些，你先
[03:58.740] 您稍后您喝点水，然后我就把这声音讲解一下，行行好了没事不着急就说行。
[04:07.030] 马上这样，现在这些都是北京奔驰国产，对基本上都是北京人。
[04:11.440] 你像一也有进口的C也有进口，非洲进口就是两门了，或者旅行车不要
[04:17.700] 加油打掉4我们家用的
[04:21.050] 有老人可能就需要稍微宽敞一点，对稍微
[04:25.960] 反正差不多空间稍微大点，对你稍微宽一点你之类的。
[04:31.420] 对，然后你们E和宝马的武器差不多是吧？
[04:36.330] 即便一80亿还是C
[04:39.240] 一跟宝马5系A1L对比的是我们奔驰E/6是吧？差不多反正是30多万，就是一个竞品属于同一级别的，价格都差不太多，
[04:50.190] 这一个就剩的差不多是吧？
[04:56.200] 一然后 MC的话
[05:00.920] 周期现在是多少钱了？好像是也聊目前现在报价392,800 394,800起，
[05:07.130] 394,800~57,800不走，他也是GSC20栋的20豪华300万300号华。
[05:14.470] 那个的话
[05:16.390] 比如说我都下来哪有多少钱，你得看哪个配置，配置不知道它价格可能差，他
[05:23.370] 动力不用特别强队，不用强一点，强点基本是GS12012
[05:28.950] 250是吧？20 6020的动感豪华，然后动感跟豪华的他是差一些配置，它放进冰箱都一样的。
[05:36.630] 低功率，你要是20的话，跟东莞豪华差了一个陈列柜加热。
[05:41.860] 对，差了一个出息头枕。
[05:44.890] 对然后插一个轮毂。
[05:47.390] 你要是20D配的是18送的，
[05:50.520] 高频19份，然后再一看AMD百个条件3度是吧？
[05:54.740] 对蒙古是直径直径，对然后再差差了一个mg外公条外观长假，
[06:01.660] 它的前脸
[06:02.930] 你要是高配的就是闪钻石金，佛山就星星点点。
[06:06.460] 你要是dk就是两条杠刀锋是尽量
[06:12.030] 你看这个是吧？
[06:14.360] 这个价格大概差多少？一般就是低配和高配的基本超过27,000~3万不到。
[06:19.800] 两三万块钱是吧？
[06:21.960] 把这个车给您介绍一下，行。
[06:32.580] 你这的水费收一下。
[06:39.380] 想要一款系2011
[06:42.760] 现在
[06:45.860] 这是20，这就是一个硬
[06:48.520] 对于他这就是大量达标，
[06:51.500] 这种
[06:53.630] 它还有一款是丽标的就立着的。
[06:56.220] 这种交易情况，对，你看这个车他的大灯可能是双层杠杆的一边什么电动更高了，
[07:04.110] 点了服务更快，而且我不知道之前有没有遇到这种情况，之前我们知道之后家庭
[07:08.980] 然后他开的红色综合处，但它的灯光25渡登记，
[07:13.450] 一个是发黄发散，一个装饰技术比较器，然后他后来咱们换他直接一车，
[07:19.030] 咱这大灯咱采用的全LED的光源系统，造成距离更远点的速度更快。
[07:24.500] 而且跟五官了来访，
[07:26.040] 使用说明空调增强业务宣传政策。
[07:29.240] 前侧还有一个主动制动辅助系统，这个就是走进丁波路口透明道路的时候，它能过滤掉大部分规模感，
[07:36.230] 增强一个中性风的意见，他这叫情感比较的一个情况是吧？
[07:41.580] 第二
[07:42.190] 浅色还有一个主动自动服务系统，平常它这个东西接近计划开始这种习惯，前段时间咱们客户也是
[07:49.240] 开门下车往前走，然后车载突然紧急刹车，
[07:52.750] 在人员没有注意到，我车辆监测到就立马能发觉，你比如说要没有配置发生一些追尾事故的，
[07:59.130] 而且全系标配，
[08:00.680] 然后侧面就是眼睛放情况，
[08:03.420] 他敏捷操控悬挂是奔驰独有的一个技术，就是它能过滤掉大部分消除感，刚才一个程度失去根本进行。
[08:09.970] 其次就是他这一块，
[08:11.750] 像E级车的方向盘，他沉默产业是双十二的三瓶，
[08:16.990] 从目前金刚石的材质高分辨率防滑，
[08:20.210] 然后其次他从的背面包括文编，然后有64课没登，反正打开以后特别漂亮。
[08:26.920] 然后再一个就是方才这个是最新的带冲，冲榜刚才
[08:31.400] 就车辆现在大部分功能都可以在房子上进行操作完成，更快捷更方便了。
[08:35.960] 其次它是怀里设计，这个是拐点，
[08:38.910] 奔驰车就是网上搬到了好像搬地方，
[08:41.600] 按中间的13.0P的好写简单，就谁知在这儿的是吧？对坏账设计，
[08:48.680] 其次就在您头顶上面，然后就没再得思义，
[08:51.640] 但是奔驰厂商为客户打造医疗服务平台，
[08:54.960] 举个例子，
[08:56.290] 比如说这个车去哪玩淘宝走不了了，就不是叫不到的地方，相当于你直接按土地ss关键
[09:01.460] 后台会给您精准定位，
[09:03.570] 定位联系完了以后，他
[09:06.140] 比如说去那玩泡泡走不了了，
[09:09.120] 这个叫车叫不到，你可以直接
[09:11.600] 包跟和他联系以后，后台我们定位定位联系，你去经销商
[09:15.000] 规定金额肯定20小时。
[09:17.530] 他那里你的室友有互联网的吗？有刘宝联网的厂家后台联网这个是前三年时间它是GPS定位的GPS地位的，
[09:26.780] 然后或者比如这车比如被盗了，
[09:31.320] 你跟它后台报备以后，只要车辆一启动，立马就定位车载。
[09:36.950] 他也是开发是前面全景的，
[09:40.290] 后边也可以后门打开，所有的全车都是全色的的后面长。
[09:45.330] 然后再一个就是后排，
[09:47.440] 像咱们E级车叉加长，这个是加长完整的，而且他是超长三米的轴距空间比较大，
[09:53.590] 因为奔驰车桌椅都是人按人体工学摄影或者说坐奔驰输入比一般要好很多，
[09:59.620] 面对超长手机屏幕比较大。
[10:02.140] 再一个就是有一摩托车，比如下雨下雨下大了，它就会方向的时候
[10:06.400] 摆脱送材料，谁知后然后雷达探测距离自己脖子里头
[10:12.310] 这谁标配包括什么自动泊车是吧？点灯，
[10:16.360] 他叫什么泊车自动泊车，对包括玻璃目前在立即是吧？
[10:20.920] 它全系都采用的是引述玻璃，对，但是建筑贴膜建议提摩，他只是隐私，
[10:27.770] 但是他革不了紫外线。
[10:29.560] 咱这有两种有可能把特种包装还体验了，各种包括有关性，我问前面可以贴下膜吗？
[10:36.930] 有吗？有贴的全车的，全车前面贴牌就是不用那么深，就是说如果前测试国家有标准的是没有自然色的，
[10:45.220] 是透明的，是因为
[10:47.270] 他比如说你迎着太阳早晚用太阳的时候，
[10:51.650] 因为我不愿意戴墨镜，戴墨镜就显得黑，他有时候特别少，眼睛的毛不行，
[10:58.750] 不行，磨质量不行。
[11:00.540] 咱这不能出现这种深颜色的膜系统不行，
[11:04.470] 调不了。
[11:05.480] 国家有要求了，钱的红包必须后面
[11:07.850] 一不能一点颜色，
[11:11.150] 然后再
