[00:00.260] 7月2号过号先生
[00:03.160] 括号客户评估期待。
[00:39.970] 你好，王
[00:42.140] 名片。
[00:47.090] 您的行驶本车
[00:51.000] 您车里没有贵重物品，
[00:56.010] 跟您介绍一下咱这边的评估流程，咱这边做一个静态评估和动态评估。
[01:01.260] 今天先会给您做一个静态评估，时间大概20分钟左右，
[01:06.450] 到时候会给你一个报价。
[01:08.220] 他报价三个公司是有效。
[01:11.330] 到时候如果说您觉得过来交车价格可以过来交车上，咱这边还会对那车今天是
[01:17.870] 您看我对于车进行试驾的时候有什么需要注意？
[01:24.290] 有个问题这里见证一下，人家车维修保养都是在4S店，
[01:33.200] 明白。
[01:55.070] 然后接着
[01:57.560] 刚刚
[02:00.790] 行。
[02:18.120] 没事就问题等
[02:19.440] 弄完手后
[02:48.440] 您车里没有贵重物品，
[05:01.870] 都靠客户
[05:02.520] 负评估接待完毕。
