[00:03.400] 知道。
[00:04.360] 他有一个小功能，有时候不太
[00:10.040] 有时候做以后快点说，
[00:12.280] 对我来说影响大不大，还有一个欧洲市场就是自动。
[00:17.660] 批评的爱。
[00:18.990] 自启动有时候有用有时候没用。
[00:22.830] 稍微看一下，如果没啥问题的话，那就有大问题我们再说。
[00:29.000] 因为对我。
[00:29.980] 说其实我有时候我还不太愿意用。
[00:32.470] 明白，因为您就看如果他仪表上他不是有一个半圆适量的，对亮亮的它是什么绿颜色，应该他就能正常工作了，对。
[00:45.180] 也可能就是不在工作范围，但是他肯定不够范围比较多，你说车钥匙没事，一会让车间再给您拿电脑，现在检测一下。
[00:53.470] 其他的倒是没啥问题，行，今天你在用谁知
[00:59.910] 过来。
[01:02.590] 数据，您的驾照或身份证您带着的吗？
[01:06.820] 身份证有一个就可以。
[01:08.200] 可以好了。
[01:09.840] 了。
[01:10.410] 33。
[01:12.420] 今天。
[01:13.870] 这样你好你干嘛后来？
[01:18.300] 对我知道订货到货的，您这样您把钥匙给我那个单子取出来，您还拿着。
[01:26.340] 您应该是刘女士她说再加一个内饰的是吧？行，我就一块给您做。
[01:34.790] 然后取钱的时候就到了是吧？对衢州最后在结账，您在我已经收了7000块钱了，
[01:40.700] 等最后费用我在一块给您。
[01:43.430] 您就在下午的
[01:45.480] 我做完跟您联系应该得在四五点钟。
[01:48.420] 行好勒。
[01:50.730] 行行车在门口是吧？
[01:53.090] 行好了慢点。
[01:54.530] 数据
[02:06.850] 的
[02:18.660] 号
[02:19.580] 二
[02:25.190] 五
[02:26.180] 二
[02:32.690] 花
[02:34.670] 的。
[02:41.550] 数据、
[02:47.440] 场。
[03:05.840] 给
[03:11.570] 数据、
[03:17.250] 您这车上次保养是做过一个A保养，你看
[03:22.020] 说
[03:24.600] 这次应该也差不多3万公里，
[03:27.530] 对吧？他是A宝和B宝交替着，
[03:32.940] 对上次做的A保换的机油几率，这次该做一个B宝，
[03:38.440] 预防是什么？低保是机油机滤空滤，还有一个空调滤芯列车，
[03:53.480] 坏。
[03:57.100] 日本是在你那还在车上在这。
[04:02.400] 系统升级来着了，用
[04:13.120] 机油机滤空滤、
[04:16.440] 机油机滤、空滤、
[04:18.860] 功率，还有一个空调滤芯条例，对，因为我查着您这车
[04:25.040] 手法，我但是我没有查到，我就在你们我从国外带来明白，
[04:30.430] 我说我们没查到手法的。
[04:45.750] 数据。
[05:12.030] 远场
[05:12.760] 数据
[05:15.680] 坏
[05:18.600] 数据、
[05:20.850] 数据、
[05:26.960] 场、
[05:30.280] 场
[05:32.440] 数据、
[05:40.180] 数据、
[05:40.820] 数据、
[05:50.380] 问题
[05:56.120] 数据。
[06:03.320] 的。
[06:07.950] 有贵重没有。
[06:09.990] 我给您看一下。
[06:14.480] 发展
[06:26.160] 到
[09:09.130] 刚才看了一下您那车的后门开始骗一点，
[09:12.500] 厚度还有这么厚名片您检查一下好吧？行数据到时候该放话行，好了，我在
[09:19.730] 我先让您技师送了以后，如果可以的63号行好勒，其他的再给您刚才的确也给您看了一下，
[09:28.050] 他那个标现在是黄黄颜色得您这车最近开的少，平时您得多开开他电瓶电压高以后就正常了，好您说的。
[09:41.160] 保养
[09:44.330] 数据。
[09:46.240] 花。
[10:03.350] 的
[10:08.750] 数据
[10:12.130] 数据
[10:16.670] 数据。
[10:19.110] 坏数据。
[10:29.320] 的。
[10:31.350] 坏数据
[10:42.950] 的
[10:51.000] 二
[10:56.610] 五。
[10:57.550] 对。
[11:03.590] 号
[11:05.040] 点
[11:11.080] 的
[11:12.230] 五
[11:14.840] 的。
[11:21.320] 现在说跟您说一下，这是上次的换的机油几率就是换了两条轮胎，这次应该做一个
[11:30.720] 地板上次做A保，这次该做B保养，B保养就是换
[11:38.430] 万机油机滤空滤空调滤芯，
[11:40.740] 有一个刹车油是没有套餐，一会再让车间帮我测一下刹车油，刹车片一个现在就是不确定的刹车片和一个刹车油来进行报价，B保养、空调滤芯、空调系统清洗，还有一个发动机机舱线路养护，
[11:55.630] 这只是需要做的机械发动机机舱清理。
[12:01.310] 对您那车没有做过，一般是在2万公里左右，其实就建议做，我们看一下这车的。
[12:07.610] 正常的。
[12:08.830] 保养套餐，它发动机机舱清理是什么？做线路养护在做清洗水箱冷凝器就是发动机的散热。
[12:17.040] 这是它的保养，我给您报的就是套餐价，他能优惠多少我就得用在最低价。
[12:24.360] 原价是3186的势必
[12:30.290] 空调滤芯是这一。
[12:32.560] 等到您4万公里，可能您4万公里火花塞就该换了，这次先不放，还有一个刹车油，这车这个是没有套餐，
[12:40.710] 有一个空调系统清洗，刚开始里头加上了608，还有一个发动机线路养护是需要做这几项这个是多少几万公里。
[12:50.790] 一般是200是两两公里，你说那上次怎么没给我做？上次我看应该就做了一个基础保养，应该对其他的的确是没有做。
[13:01.330] 他这是不是必须的，但是他没给我做事建议做的，有可能您
[13:07.060] 就没做还是
[13:08.690] 是建议的，不是说必须的，还有中包括空调滤芯，空调滤芯也是两个公里。
[13:14.880] 列车也的话，
[13:16.710] 对河南路这是两个同意归还。
[13:19.940] 律师还有一个星期。
[13:23.840] 因为在北京空气质量不太好，一般是在
[13:27.610] 一年或者2万公里，但是我怕您这车的确是没做过，行这可以，我就安排一下先给您做其他的上车。
[13:35.930] 什么问题我再跟您说，刹车片你再说好吧？行，大概多长时间？
[13:41.490] 现在是10点估计得在1:00 1:00左右。
[13:45.530] O1点左右。
[13:48.320] 您是在这等这也有课程。
[13:51.160] 您离这远吗？
[13:52.160] 骂我离得还有点远，因为我在上面。
[13:54.910] 是吗？我现在10:00 11:00 12:00。
[13:58.090] 对，差不多在洗完车就是做完这些项目就得在一边管用。
[14:21.240] 您一会给我打电话是吧？
[14:23.740] 一会我再跟您联系。
[14:25.280] 您是在这儿休息吗先？
[14:27.280] 休息行，肯定怎么着？
[14:30.180] 接我行。
[14:36.820] 印厂以后车间师傅也会做一个全车检测，有什么问题我再跟您说。
[14:41.430] 行。
[14:43.170] 这个有效在做什么？对您帮我签个字，对最后你这发票给你怎么开，个人开公司。
[14:50.050] 掀开做人行。
[14:57.240] 场
[14:59.620] 走
[15:08.790] 的
[15:15.880] 的。
[15:20.460] 不好。
[15:24.920] 五
[15:27.270] 了。
[15:39.110] 不一样。
[15:50.390] 号。
[15:51.600] 这块行。
[15:54.370] 怎么着完了您到二楼以后就业。
[15:57.750] 行
[16:00.270] 了
[16:05.790] 场
[16:14.990] 数据、
[16:23.490] 先检查一下。
[16:33.390] 坏数据。
[16:37.300] 刚从保险。
